"C1"	"C2"	"C3"	"IR1"	"IR2"	"IR3"
"ENSG00000100532"	0	1	0	0	0	0
"ENSG00000100567"	0	1	0	0	0	0
"ENSG00000100568"	0	0	0	1	0	0
"ENSG00000100575"	0	0	0	0	0	1
"ENSG00000100591"	3	1	0	0	0	0
"ENSG00000100600"	0	0	0	0	1	2
"ENSG00000100603"	1	0	0	0	0	0
"ENSG00000100632"	1	0	2	0	2	2
"ENSG00000100644"	0	0	1	0	0	0
"ENSG00000100647"	0	1	0	0	0	0
"ENSG00000100650"	2	1	1	1	0	0
"ENSG00000100664"	0	1	1	0	0	0
"ENSG00000100726"	0	0	0	0	1	0
"ENSG00000100764"	0	1	0	0	0	1
"ENSG00000100784"	0	0	0	1	0	0
"ENSG00000100804"	0	0	1	0	0	0
"ENSG00000100811"	0	0	0	1	0	1
"ENSG00000100813"	0	0	0	0	1	0
"ENSG00000100823"	0	1	0	0	1	2
"ENSG00000100836"	1	0	1	1	1	0
"ENSG00000100897"	0	0	1	0	0	0
"ENSG00000100902"	2	0	0	0	0	0
"ENSG00000100906"	0	1	1	0	1	0
"ENSG00000100911"	1	0	0	1	0	0
"ENSG00000100938"	0	0	1	0	0	0
"ENSG00000100941"	0	0	1	0	0	0
"ENSG00000100985"	2	0	4	1	0	1
"ENSG00000100991"	0	0	0	1	0	0
"ENSG00000100997"	0	0	0	0	0	1
"ENSG00000101000"	0	1	0	0	0	0
"ENSG00000101052"	1	0	0	0	0	0
"ENSG00000101082"	1	0	0	0	0	0
"ENSG00000101084"	2	1	1	0	0	0
"ENSG00000101109"	1	0	0	0	0	0
"ENSG00000101126"	0	1	0	0	0	0
"ENSG00000101132"	1	0	0	1	0	0
"ENSG00000101150"	0	0	0	1	0	2
"ENSG00000101158"	1	0	0	0	0	0
"ENSG00000101160"	0	0	2	1	0	2
"ENSG00000101182"	0	1	1	0	0	0
"ENSG00000101189"	0	0	1	0	0	0
"ENSG00000101265"	0	0	0	0	0	1
"ENSG00000101266"	1	0	0	0	0	0
"ENSG00000101294"	0	0	1	0	0	0
"ENSG00000101310"	0	0	0	2	0	0
"ENSG00000101337"	1	0	0	0	0	0
"ENSG00000101343"	0	0	1	0	0	0
"ENSG00000101346"	0	0	0	1	0	0
"ENSG00000101347"	0	0	1	0	0	0
"ENSG00000101367"	1	0	2	0	1	0
"ENSG00000101417"	0	0	0	0	1	0
"ENSG00000101421"	0	1	1	0	1	1
"ENSG00000101439"	2	1	0	0	1	2
"ENSG00000101457"	0	1	0	0	0	0
"ENSG00000101474"	1	0	1	1	0	1
"ENSG00000101558"	0	0	0	0	0	1
"ENSG00000101608"	2	1	1	1	3	1
"ENSG00000101654"	0	0	0	0	0	1
"ENSG00000101665"	0	1	1	0	0	0
"ENSG00000101782"	0	0	0	1	0	0
"ENSG00000101849"	0	0	1	0	0	0
"ENSG00000101911"	0	0	0	0	0	1
"ENSG00000101916"	0	0	0	1	0	0
"ENSG00000101972"	1	0	0	0	0	1
"ENSG00000102007"	0	0	0	1	1	1
"ENSG00000102096"	0	2	2	0	0	0
"ENSG00000102119"	0	0	0	0	1	0
"ENSG00000102125"	0	0	0	0	0	1
"ENSG00000102144"	2	1	0	0	0	0
"ENSG00000102158"	0	0	0	0	1	0
"ENSG00000102172"	0	1	0	0	0	1
"ENSG00000102178"	0	1	0	0	0	0
"ENSG00000102189"	0	1	0	0	0	0
"ENSG00000102218"	0	0	0	0	0	1
"ENSG00000102265"	1	2	1	1	0	0
"ENSG00000102309"	0	1	0	0	1	0
"ENSG00000102316"	0	0	0	0	0	1
"ENSG00000102393"	0	0	1	0	1	0
"ENSG00000102409"	0	0	1	0	0	0
"ENSG00000102524"	0	1	0	0	0	0
"ENSG00000102575"	0	3	1	2	4	2
"ENSG00000102580"	0	0	0	1	0	0
"ENSG00000102738"	0	0	1	0	0	0
"ENSG00000102760"	1	0	1	1	0	0
"ENSG00000102786"	0	1	0	0	0	0
"ENSG00000102804"	0	1	0	0	0	0
"ENSG00000102805"	0	0	0	0	0	1
"ENSG00000102837"	1	0	0	0	0	0
"ENSG00000102871"	0	1	0	1	1	0
"ENSG00000102879"	1	0	3	0	1	1
"ENSG00000102897"	1	0	0	0	0	1
"ENSG00000102898"	1	0	0	0	0	0
"ENSG00000102900"	0	0	1	1	0	0
"ENSG00000102931"	0	2	0	0	0	1
"ENSG00000102934"	1	0	0	0	0	0
"ENSG00000102962"	1	1	0	0	0	1
"ENSG00000102978"	0	0	1	0	0	1
"ENSG00000103005"	1	0	0	0	0	0
"ENSG00000103024"	1	0	0	0	0	0
"ENSG00000103035"	0	0	0	0	0	1
"ENSG00000103145"	0	1	1	0	0	0
"ENSG00000103148"	0	0	0	0	1	0
"ENSG00000103152"	0	0	1	1	0	0
"ENSG00000103187"	1	1	2	1	0	1
"ENSG00000103254"	1	0	0	0	0	0
"ENSG00000103266"	3	0	1	0	0	0
"ENSG00000103274"	0	0	0	0	0	2
"ENSG00000103275"	0	0	1	0	1	0
"ENSG00000103326"	0	0	0	0	0	2
"ENSG00000103335"	0	1	0	0	0	0
"ENSG00000103363"	0	0	1	1	0	0
"ENSG00000103365"	0	0	0	0	0	1
"ENSG00000103381"	1	0	0	0	0	0
"ENSG00000103479"	1	0	0	0	0	0
"ENSG00000103490"	0	1	0	1	0	0
"ENSG00000103495"	1	0	1	0	0	0
"ENSG00000103507"	0	0	0	1	0	1
"ENSG00000103549"	0	0	0	0	1	0
"ENSG00000103591"	0	0	0	0	1	0
"ENSG00000103653"	1	3	1	1	0	1
"ENSG00000103769"	0	1	0	0	0	0
"ENSG00000103811"	0	0	0	2	0	0
"ENSG00000104064"	0	0	0	0	1	0
"ENSG00000104129"	0	0	1	0	0	0
"ENSG00000104133"	1	0	0	0	0	0
"ENSG00000104164"	0	1	0	0	0	0
"ENSG00000104228"	0	0	0	0	0	1
"ENSG00000104312"	0	0	0	0	0	1
"ENSG00000104320"	0	0	0	0	1	0
"ENSG00000104324"	0	0	0	1	0	0
"ENSG00000104365"	0	0	2	0	0	0
"ENSG00000104388"	0	0	1	0	0	0
"ENSG00000104408"	2	1	2	1	0	2
"ENSG00000104412"	0	0	0	0	0	1
"ENSG00000104419"	0	1	1	0	1	0
"ENSG00000104518"	0	0	0	0	0	1
"ENSG00000104529"	2	0	3	2	2	2
"ENSG00000104660"	1	0	0	1	1	0
"ENSG00000104671"	0	1	0	0	0	0
"ENSG00000104695"	0	1	0	0	0	0
"ENSG00000104714"	0	0	0	0	1	0
"ENSG00000104763"	0	0	1	0	0	2
"ENSG00000104805"	0	0	0	1	1	0
"ENSG00000104823"	0	2	0	0	0	1
"ENSG00000104852"	0	0	0	0	1	0
"ENSG00000104853"	0	0	0	0	0	1
"ENSG00000104856"	1	0	1	0	1	0
"ENSG00000104859"	0	0	0	1	0	0
"ENSG00000104863"	1	0	0	0	0	0
"ENSG00000104870"	3	1	1	1	1	1
"ENSG00000104894"	0	1	1	0	2	1
"ENSG00000104897"	0	0	0	2	0	0
"ENSG00000104904"	5	5	7	4	2	6
"ENSG00000104907"	1	1	0	0	0	0
"ENSG00000104915"	0	1	0	1	0	0
"ENSG00000104946"	0	0	0	1	0	0
"ENSG00000104951"	0	0	0	0	1	0
"ENSG00000104960"	0	0	0	0	2	0
"ENSG00000104964"	2	4	4	3	0	1
"ENSG00000104973"	0	0	1	0	0	0
"ENSG00000104976"	0	0	0	1	0	0
"ENSG00000104979"	2	2	0	0	0	1
"ENSG00000105048"	1	0	0	0	0	0
"ENSG00000105053"	1	0	1	0	0	0
"ENSG00000105058"	0	0	2	0	0	0
"ENSG00000105063"	0	2	1	0	0	0
"ENSG00000105176"	0	0	0	0	1	0
"ENSG00000105185"	0	0	1	0	1	0
"ENSG00000105193"	11	9	11	15	15	8
"ENSG00000105197"	0	0	0	1	0	0
"ENSG00000105202"	0	0	1	0	0	0
"ENSG00000105205"	0	0	0	3	0	1
"ENSG00000105223"	1	1	1	0	0	0
"ENSG00000105254"	1	0	0	1	0	0
"ENSG00000105258"	0	0	0	0	0	1
"ENSG00000105281"	0	0	1	0	0	1
"ENSG00000105287"	1	0	0	0	0	0
"ENSG00000105321"	1	0	0	0	0	0
"ENSG00000105323"	0	1	0	0	0	0
"ENSG00000105327"	0	1	0	0	0	0
"ENSG00000105329"	1	0	2	0	0	2
"ENSG00000105369"	1	0	0	1	1	0
"ENSG00000105372"	19	17	10	29	20	32
"ENSG00000105373"	3	0	6	4	2	3
"ENSG00000105374"	2	2	2	1	2	2
"ENSG00000105393"	0	0	0	0	2	0
"ENSG00000105401"	1	0	0	0	0	1
"ENSG00000105404"	1	1	1	1	1	2
"ENSG00000105438"	0	1	1	0	1	0
"ENSG00000105483"	0	0	0	1	0	0
"ENSG00000105486"	1	0	0	0	0	0
"ENSG00000105516"	1	0	0	0	0	0
"ENSG00000105519"	0	0	0	0	1	0
"ENSG00000105556"	0	0	0	1	0	0
"ENSG00000105612"	0	0	0	0	0	1
"ENSG00000105639"	0	0	1	0	0	0
"ENSG00000105640"	18	25	23	15	28	21
"ENSG00000105669"	1	1	3	0	0	0
"ENSG00000105677"	0	0	0	1	0	1
"ENSG00000105697"	0	0	0	1	0	0
"ENSG00000105698"	1	0	0	1	0	2
"ENSG00000105699"	0	0	1	0	1	0
"ENSG00000105700"	2	0	0	0	2	1
"ENSG00000105701"	0	1	0	0	0	0
"ENSG00000105726"	0	0	1	0	0	0
"ENSG00000105755"	1	1	0	0	0	0
"ENSG00000105771"	1	0	0	0	0	0
"ENSG00000105793"	0	0	0	0	0	1
"ENSG00000105819"	1	0	0	0	0	0
"ENSG00000105835"	1	0	0	1	0	0
"ENSG00000105851"	0	0	1	0	0	0
"ENSG00000105856"	1	0	1	0	0	0
"ENSG00000105875"	0	2	0	0	0	0
"ENSG00000105879"	0	0	1	0	1	0
"ENSG00000105887"	0	0	0	1	0	0
"ENSG00000105968"	0	1	0	0	0	0
"ENSG00000105983"	0	0	0	0	1	0
"ENSG00000105993"	0	1	2	0	1	0
"ENSG00000106003"	0	0	0	0	0	1
"ENSG00000106012"	0	0	0	0	0	1
"ENSG00000106052"	0	0	1	0	0	1
"ENSG00000106066"	0	0	0	2	0	0
"ENSG00000106069"	0	0	0	0	0	1
"ENSG00000106153"	2	0	2	0	1	0
"ENSG00000106178"	4	1	0	0	2	4
"ENSG00000106211"	0	0	1	1	1	0
"ENSG00000106244"	0	1	0	0	0	0
"ENSG00000106290"	1	0	0	0	0	0
"ENSG00000106344"	0	0	0	0	0	1
"ENSG00000106397"	0	1	0	0	0	0
"ENSG00000106399"	0	0	1	0	0	0
"ENSG00000106415"	0	0	1	0	0	0
"ENSG00000106459"	0	0	0	1	0	0
"ENSG00000106460"	0	0	1	0	0	0
"ENSG00000106484"	0	0	0	0	0	1
"ENSG00000106560"	1	0	1	0	0	2
"ENSG00000106565"	1	1	0	1	2	0
"ENSG00000106591"	0	0	0	0	1	0
"ENSG00000106605"	0	0	1	0	0	0
"ENSG00000106608"	0	0	1	0	0	0
"ENSG00000106609"	1	2	0	0	0	0
"ENSG00000106615"	1	0	0	0	0	0
"ENSG00000106617"	1	0	0	0	0	0
"ENSG00000106635"	0	0	0	0	0	1
"ENSG00000106636"	0	0	1	0	0	0
"ENSG00000106682"	1	0	0	0	0	0
"ENSG00000106683"	0	0	0	0	1	0
"ENSG00000106733"	1	0	0	0	0	0
"ENSG00000106803"	2	1	0	0	1	0
"ENSG00000106948"	0	0	1	0	1	0
"ENSG00000106993"	0	0	0	0	0	1
"ENSG00000107014"	0	0	0	1	0	0
"ENSG00000107020"	0	1	0	0	0	0
"ENSG00000107140"	0	0	0	0	1	0
"ENSG00000107223"	1	0	1	1	1	0
"ENSG00000107263"	0	0	0	2	0	1
"ENSG00000107341"	0	0	0	1	0	0
"ENSG00000107371"	1	0	0	0	0	0
"ENSG00000107372"	0	0	1	0	0	0
"ENSG00000107581"	0	0	0	1	0	0
"ENSG00000107651"	0	0	0	1	0	1
"ENSG00000107672"	1	0	0	0	0	0
"ENSG00000107679"	0	0	0	0	1	0
"ENSG00000107738"	1	2	2	0	0	0
"ENSG00000107742"	1	2	0	0	3	0
"ENSG00000107758"	0	0	0	0	1	0
"ENSG00000107771"	0	1	0	0	0	0
"ENSG00000107798"	0	1	1	0	1	0
"ENSG00000107833"	1	0	0	0	0	0
"ENSG00000107854"	0	1	0	0	0	1
"ENSG00000107863"	0	0	0	2	0	0
"ENSG00000107872"	0	0	0	1	0	0
"ENSG00000108064"	1	0	0	0	0	0
"ENSG00000108100"	0	0	0	0	0	1
"ENSG00000108106"	1	0	0	0	0	0
"ENSG00000108107"	18	11	10	15	12	12
"ENSG00000108256"	0	0	0	0	0	1
"ENSG00000108262"	1	1	0	0	0	0
"ENSG00000108298"	16	10	13	10	16	9
"ENSG00000108312"	0	0	1	0	0	0
"ENSG00000108375"	0	0	1	0	0	1
"ENSG00000108384"	0	0	0	0	1	0
"ENSG00000108389"	0	1	0	0	0	0
"ENSG00000108395"	0	0	1	0	0	0
"ENSG00000108406"	1	0	0	0	0	0
"ENSG00000108424"	0	0	1	0	0	1
"ENSG00000108433"	0	1	0	0	0	0
"ENSG00000108468"	0	0	0	1	0	0
"ENSG00000108474"	0	0	0	1	0	0
"ENSG00000108518"	4	3	6	2	4	4
"ENSG00000108523"	1	0	0	0	0	0
"ENSG00000108528"	0	1	0	0	0	0
"ENSG00000108561"	0	0	0	0	0	2
"ENSG00000108578"	0	0	0	1	0	0
"ENSG00000108591"	0	1	1	0	0	0
"ENSG00000108639"	1	1	1	0	0	0
"ENSG00000108651"	0	0	0	0	1	1
"ENSG00000108654"	2	3	1	1	1	0
"ENSG00000108669"	2	0	0	0	0	0
"ENSG00000108671"	0	0	0	0	1	0
"ENSG00000108688"	0	1	0	0	0	0
"ENSG00000108691"	5	1	5	2	3	4
"ENSG00000108700"	0	0	0	0	0	1
"ENSG00000108733"	0	0	1	0	0	0
"ENSG00000108773"	0	1	0	1	0	0
"ENSG00000108788"	0	0	0	1	0	0
"ENSG00000108819"	0	0	1	0	0	0
"ENSG00000108828"	0	0	1	0	0	0
"ENSG00000108829"	0	1	0	0	0	1
"ENSG00000108840"	0	0	0	1	0	0
"ENSG00000108848"	1	0	2	0	0	0
"ENSG00000108854"	0	3	0	0	0	0
"ENSG00000108861"	0	0	2	0	0	0
"ENSG00000108883"	0	0	0	1	0	0
"ENSG00000108946"	0	0	1	0	0	0
"ENSG00000108953"	0	1	0	0	0	0
"ENSG00000108961"	0	0	0	1	0	0
"ENSG00000109062"	1	0	1	0	1	1
"ENSG00000109083"	0	1	0	0	0	0
"ENSG00000109099"	0	0	0	2	0	1
"ENSG00000109103"	0	0	1	0	0	0
"ENSG00000109180"	1	0	0	0	0	1
"ENSG00000109320"	0	0	0	1	0	0
"ENSG00000109332"	1	0	1	0	0	1
"ENSG00000109390"	0	0	2	1	0	0
"ENSG00000109445"	0	1	0	0	0	0
"ENSG00000109466"	0	1	0	0	0	0
"ENSG00000109475"	19	16	15	18	20	22
"ENSG00000109586"	0	0	0	0	1	0
"ENSG00000109670"	0	0	0	0	1	0
"ENSG00000109689"	0	0	0	0	1	0
"ENSG00000109736"	0	0	0	1	0	0
"ENSG00000109854"	0	1	0	0	0	0
"ENSG00000109861"	1	2	0	2	1	2
"ENSG00000109917"	0	0	0	1	0	0
"ENSG00000109929"	0	1	0	0	1	0
"ENSG00000109971"	0	3	3	1	2	2
"ENSG00000110047"	0	0	1	0	1	0
"ENSG00000110060"	0	1	0	0	0	0
"ENSG00000110077"	0	0	1	0	0	1
"ENSG00000110108"	0	0	0	0	0	1
"ENSG00000110171"	1	0	0	0	0	0
"ENSG00000110315"	0	0	0	0	1	0
"ENSG00000110321"	0	3	2	1	1	0
"ENSG00000110324"	1	0	1	4	0	0
"ENSG00000110330"	0	0	0	2	1	1
"ENSG00000110367"	0	0	0	1	0	0
"ENSG00000110395"	0	1	0	0	0	0
"ENSG00000110442"	0	0	0	1	1	0
"ENSG00000110448"	1	0	3	0	1	0
"ENSG00000110514"	0	0	0	2	0	1
"ENSG00000110651"	0	1	1	0	1	0
"ENSG00000110697"	0	0	0	1	0	0
"ENSG00000110700"	10	11	8	7	6	9
"ENSG00000110711"	0	0	0	0	1	0
"ENSG00000110713"	2	0	0	0	0	1
"ENSG00000110717"	0	0	0	0	1	0
"ENSG00000110777"	0	0	0	0	1	0
"ENSG00000110801"	0	0	1	1	0	0
"ENSG00000110848"	0	0	0	0	0	1
"ENSG00000110851"	0	0	1	0	0	0
"ENSG00000110852"	0	1	0	0	0	1
"ENSG00000110876"	1	0	0	0	0	0
"ENSG00000110880"	0	0	0	1	0	0
"ENSG00000110888"	0	0	0	1	0	0
"ENSG00000110906"	1	0	0	0	0	0
"ENSG00000110911"	0	1	0	0	0	0
"ENSG00000110921"	0	0	0	1	0	0
"ENSG00000110931"	1	0	0	0	0	0
"ENSG00000110955"	0	1	1	0	1	0
"ENSG00000110958"	1	1	2	0	0	0
"ENSG00000111011"	0	1	0	0	0	0
"ENSG00000111142"	0	0	0	1	0	0
"ENSG00000111144"	2	0	0	0	1	1
"ENSG00000111145"	0	0	1	0	0	1
"ENSG00000111229"	1	1	1	3	3	2
"ENSG00000111237"	0	0	0	1	0	0
"ENSG00000111269"	1	0	0	0	1	1
"ENSG00000111275"	1	0	0	0	0	0
"ENSG00000111328"	0	0	1	0	0	0
"ENSG00000111348"	2	3	2	5	6	1
"ENSG00000111361"	0	0	1	0	0	0
"ENSG00000111371"	0	0	2	0	0	0
"ENSG00000111481"	0	3	0	0	0	1
"ENSG00000111530"	0	0	0	1	0	0
"ENSG00000111540"	1	0	0	0	0	2
"ENSG00000111615"	0	1	0	0	0	0
"ENSG00000111640"	4	5	6	0	5	6
"ENSG00000111641"	0	0	0	1	1	0
"ENSG00000111642"	1	0	0	0	0	0
"ENSG00000111666"	1	1	0	1	0	2
"ENSG00000111669"	1	1	2	1	0	1
"ENSG00000111674"	0	0	1	0	0	0
"ENSG00000111678"	0	0	2	1	3	2
"ENSG00000111679"	1	1	0	0	0	2
"ENSG00000111716"	1	2	0	1	1	1
"ENSG00000111726"	0	0	0	0	0	1
"ENSG00000111729"	0	1	0	0	2	0
"ENSG00000111775"	0	0	2	1	0	1
"ENSG00000111786"	0	2	2	0	1	0
"ENSG00000111817"	1	0	0	0	0	0
"ENSG00000111832"	0	0	0	1	0	0
"ENSG00000111843"	1	1	1	0	1	3
"ENSG00000111875"	1	0	0	0	0	0
"ENSG00000111880"	0	1	0	0	0	0
"ENSG00000111897"	1	0	0	1	1	0
"ENSG00000111913"	1	0	0	0	0	0
"ENSG00000112081"	1	1	1	1	0	0
"ENSG00000112096"	0	0	1	2	1	0
"ENSG00000112110"	1	0	0	0	0	0
"ENSG00000112137"	0	0	0	0	0	1
"ENSG00000112146"	0	1	0	0	0	0
"ENSG00000112149"	3	0	0	0	0	0
"ENSG00000112294"	0	1	0	0	0	0
"ENSG00000112304"	0	0	1	0	0	0
"ENSG00000112306"	20	18	26	11	18	19
"ENSG00000112308"	0	0	0	0	0	1
"ENSG00000112335"	0	0	0	0	2	0
"ENSG00000112339"	0	0	0	0	0	1
"ENSG00000112406"	0	1	0	0	1	1
"ENSG00000112514"	0	0	0	1	1	0
"ENSG00000112531"	0	0	1	0	0	0
"ENSG00000112576"	0	1	1	0	0	0
"ENSG00000112592"	0	0	0	1	0	0
"ENSG00000112667"	0	0	0	1	0	0
"ENSG00000112679"	0	0	0	0	0	1
"ENSG00000112685"	0	0	0	1	0	0
"ENSG00000112695"	1	3	1	4	1	0
"ENSG00000112697"	0	0	2	0	0	0
"ENSG00000112787"	0	0	1	0	0	0
"ENSG00000112799"	0	0	0	1	0	1
"ENSG00000112851"	0	0	1	0	0	0
"ENSG00000112855"	0	0	0	0	1	0
"ENSG00000112893"	1	0	0	0	1	1
"ENSG00000112977"	0	0	0	0	0	1
"ENSG00000112983"	0	0	0	0	1	0
"ENSG00000112996"	0	0	0	1	0	0
"ENSG00000113013"	0	0	0	1	2	1
"ENSG00000113068"	0	0	0	0	1	0
"ENSG00000113088"	0	0	1	0	0	1
"ENSG00000113141"	0	1	1	0	2	0
"ENSG00000113161"	0	0	1	0	0	0
"ENSG00000113263"	0	0	0	0	1	0
"ENSG00000113269"	2	0	1	2	0	1
"ENSG00000113273"	0	0	0	1	0	0
"ENSG00000113312"	0	0	0	1	0	0
"ENSG00000113369"	0	0	0	0	2	0
"ENSG00000113384"	0	0	0	0	1	0
"ENSG00000113387"	2	2	1	0	2	1
"ENSG00000113407"	0	1	0	0	0	0
"ENSG00000113441"	0	0	0	0	0	2
"ENSG00000113552"	0	0	4	0	0	0
"ENSG00000113558"	2	1	1	0	0	0
"ENSG00000113575"	0	0	0	1	0	0
"ENSG00000113621"	0	0	1	0	0	1
"ENSG00000113643"	0	0	0	0	0	1
"ENSG00000113648"	0	0	0	0	1	2
"ENSG00000113649"	0	1	0	0	0	0
"ENSG00000113732"	2	1	2	2	3	2
"ENSG00000113742"	0	0	1	0	0	0
"ENSG00000113851"	1	0	0	0	0	0
"ENSG00000113916"	0	0	1	0	0	0
"ENSG00000114013"	0	0	0	0	0	1
"ENSG00000114125"	1	0	0	0	0	0
"ENSG00000114166"	1	0	0	0	0	0
"ENSG00000114209"	1	0	0	0	0	0
"ENSG00000114353"	0	2	2	0	2	1
"ENSG00000114383"	0	0	0	0	0	1
"ENSG00000114391"	3	7	4	4	5	8
"ENSG00000114395"	0	0	0	0	0	1
"ENSG00000114416"	0	0	1	0	0	1
"ENSG00000114491"	0	0	0	1	0	0
"ENSG00000114503"	1	0	1	0	0	0
"ENSG00000114520"	0	1	0	0	1	0
"ENSG00000114541"	0	0	1	0	0	0
"ENSG00000114626"	0	0	1	0	0	1
"ENSG00000114648"	0	0	1	0	0	0
"ENSG00000114686"	0	0	0	0	1	0
"ENSG00000114735"	1	0	0	0	0	0
"ENSG00000114737"	0	1	0	0	0	0
"ENSG00000114742"	0	0	0	0	1	0
"ENSG00000114744"	0	0	0	0	0	1
"ENSG00000114850"	0	1	0	1	1	0
"ENSG00000114867"	0	0	1	0	0	0
"ENSG00000114902"	0	0	1	0	1	0
"ENSG00000114904"	0	0	1	0	0	0
"ENSG00000114942"	4	5	4	4	1	7
"ENSG00000114978"	0	0	0	0	1	0
"ENSG00000115009"	0	0	0	0	1	0
"ENSG00000115053"	2	0	1	0	0	0
"ENSG00000115085"	0	0	0	0	1	1
"ENSG00000115091"	0	2	0	2	1	2
"ENSG00000115109"	0	0	1	0	0	0
"ENSG00000115128"	1	0	1	1	0	1
"ENSG00000115129"	1	0	0	0	0	0
"ENSG00000115165"	1	0	0	0	0	1
"ENSG00000115204"	0	0	1	0	0	0
"ENSG00000115216"	0	0	0	0	0	1
"ENSG00000115232"	1	0	0	0	0	0
"ENSG00000115234"	3	0	1	0	0	0
"ENSG00000115241"	0	0	0	2	0	0
"ENSG00000115267"	0	0	0	0	0	1
"ENSG00000115268"	4	10	9	9	6	8
"ENSG00000115271"	0	0	0	0	0	1
"ENSG00000115275"	0	0	1	0	0	1
"ENSG00000115286"	1	1	0	0	0	0
"ENSG00000115289"	0	0	0	0	1	1
"ENSG00000115295"	0	0	0	0	1	0
"ENSG00000115307"	3	1	0	0	1	0
"ENSG00000115310"	1	1	1	0	0	2
"ENSG00000115355"	1	0	0	0	0	0
"ENSG00000115364"	0	0	0	0	0	1
"ENSG00000115414"	0	0	1	0	1	0
"ENSG00000115415"	3	0	1	1	0	2
"ENSG00000115419"	0	0	0	1	0	0
"ENSG00000115459"	0	0	0	0	1	0
"ENSG00000115464"	0	0	0	0	1	0
"ENSG00000115484"	0	0	1	0	0	1
"ENSG00000115523"	0	1	2	0	1	1
"ENSG00000115540"	0	0	0	0	1	0
"ENSG00000115541"	1	0	0	0	1	0
"ENSG00000115649"	0	0	0	0	0	1
"ENSG00000115652"	0	0	0	0	0	1
"ENSG00000115685"	0	0	0	0	0	1
"ENSG00000115687"	0	0	0	1	0	0
"ENSG00000115694"	0	1	0	0	0	2
"ENSG00000115738"	2	0	2	0	1	0
"ENSG00000115756"	0	0	0	1	0	0
"ENSG00000115762"	0	0	1	0	0	0
"ENSG00000115825"	0	0	0	0	1	0
"ENSG00000115839"	0	0	1	0	0	0
"ENSG00000115840"	0	0	1	0	0	0
"ENSG00000115866"	0	0	0	1	0	0
"ENSG00000115875"	1	3	0	0	0	1
"ENSG00000115904"	1	0	0	0	0	0
"ENSG00000115919"	0	1	0	1	1	0
"ENSG00000115935"	0	0	3	3	0	0
"ENSG00000115944"	0	0	0	1	0	1
"ENSG00000115946"	1	0	0	0	0	0
"ENSG00000115966"	0	0	1	0	0	0
"ENSG00000115998"	0	0	2	0	0	0
"ENSG00000116030"	0	1	0	0	0	2
"ENSG00000116044"	0	0	0	0	0	1
"ENSG00000116062"	0	0	1	0	0	0
"ENSG00000116120"	0	1	0	0	0	0
"ENSG00000116161"	0	1	0	0	0	0
"ENSG00000116171"	1	0	0	0	0	1
"ENSG00000116212"	1	0	0	0	0	0
"ENSG00000116213"	0	0	1	0	0	1
"ENSG00000116251"	5	6	3	5	3	2
"ENSG00000116260"	1	0	0	0	1	0
"ENSG00000116288"	1	1	1	0	1	3
"ENSG00000116459"	0	0	2	1	1	0
"ENSG00000116473"	1	0	3	0	0	1
"ENSG00000116489"	1	1	0	0	0	0
"ENSG00000116560"	0	0	1	1	0	0
"ENSG00000116586"	0	0	1	0	0	0
"ENSG00000116604"	0	0	0	0	0	1
"ENSG00000116663"	0	0	0	0	0	1
"ENSG00000116685"	0	0	1	0	0	1
"ENSG00000116691"	0	0	0	0	0	1
"ENSG00000116698"	0	1	0	0	0	0
"ENSG00000116701"	0	1	0	0	0	0
"ENSG00000116717"	0	0	0	0	0	2
"ENSG00000116750"	0	0	0	0	0	1
"ENSG00000116752"	0	1	1	0	0	0
"ENSG00000116754"	0	0	0	0	1	0
"ENSG00000116786"	1	0	0	0	0	0
"ENSG00000116793"	0	0	0	1	0	0
"ENSG00000116815"	0	0	0	0	1	0
"ENSG00000116824"	2	2	0	1	3	1
"ENSG00000116863"	0	0	0	0	1	0
"ENSG00000116871"	0	1	0	2	0	0
"ENSG00000116898"	0	0	1	1	0	0
"ENSG00000116906"	0	0	1	0	0	0
"ENSG00000117091"	3	2	1	2	2	1
"ENSG00000117118"	0	0	1	0	1	0
"ENSG00000117151"	1	0	0	0	0	0
"ENSG00000117226"	0	1	0	0	0	0
"ENSG00000117228"	0	0	1	0	0	0
"ENSG00000117262"	1	0	0	0	1	0
"ENSG00000117305"	0	1	0	0	1	0
"ENSG00000117308"	0	0	0	1	0	1
"ENSG00000117318"	0	0	1	0	1	0
"ENSG00000117335"	1	1	0	0	0	0
"ENSG00000117362"	1	1	0	1	0	0
"ENSG00000117385"	0	0	0	0	0	1
"ENSG00000117394"	1	0	0	0	0	0
"ENSG00000117410"	1	2	2	1	2	1
"ENSG00000117448"	0	0	0	1	0	0
"ENSG00000117450"	3	1	2	1	2	1
"ENSG00000117500"	2	1	0	0	0	1
"ENSG00000117528"	0	0	0	0	1	0
"ENSG00000117543"	1	0	1	0	0	0
"ENSG00000117592"	0	0	0	1	2	1
"ENSG00000117602"	0	1	0	0	0	0
"ENSG00000117625"	0	0	1	0	0	0
"ENSG00000117632"	0	1	0	0	1	1
"ENSG00000117676"	0	1	0	0	0	0
"ENSG00000117697"	0	0	0	1	0	0
"ENSG00000117713"	0	0	0	0	0	1
"ENSG00000117748"	0	0	1	0	0	0
"ENSG00000117751"	0	0	1	0	0	0
"ENSG00000117862"	0	1	0	0	0	1
"ENSG00000117868"	0	0	0	0	1	1
"ENSG00000117899"	0	1	0	1	0	0
"ENSG00000117984"	3	3	3	9	4	3
